Measured Signal Photon Energy,,Measured Idler Photon Energy,,Expected Idler Photon Energy
8.29E-01,,2.28E+00,,2.28E+00
8.38E-01,,2.27E+00,,2.27E+00
8.49E-01,,2.26E+00,,2.26E+00
8.61E-01,,2.25E+00,,2.25E+00
8.73E-01,,2.24E+00,,2.24E+00
8.86E-01,,2.22E+00,,2.22E+00
8.99E-01,,2.21E+00,,2.21E+00
9.12E-01,,2.20E+00,,2.20E+00
9.25E-01,,2.19E+00,,2.18E+00
9.39E-01,,2.17E+00,,2.17E+00
9.54E-01,,2.15E+00,,2.16E+00
9.69E-01,,2.14E+00,,2.14E+00
9.84E-01,,2.12E+00,,2.13E+00
1.00E+00,,2.11E+00,,2.11E+00
1.02E+00,,2.09E+00,,2.09E+00
1.03E+00,,2.07E+00,,2.08E+00
1.05E+00,,2.06E+00,,2.06E+00
1.07E+00,,2.04E+00,,2.04E+00
1.09E+00,,2.02E+00,,2.02E+00
1.11E+00,,2.00E+00,,2.00E+00
1.13E+00,,1.99E+00,,1.98E+00
1.15E+00,,1.96E+00,,1.96E+00
1.17E+00,,1.94E+00,,1.94E+00
1.19E+00,,1.92E+00,,1.92E+00
1.22E+00,,1.90E+00,,1.89E+00